Name,ID,Industry
LYKA LABS LTD.,LYKALABS,Pharmaceuticals
The Ramco Cements Limited,RAMCOCEM,Cement & Cement Products
MAFATLAL INDUSTRIES LTD.-$,MAFATIND,Other Textile Products
MAHARASHTRA SEAMLESS LTD.,MAHSEAMLES,Iron & Steel Products
MAHARASHTRA SCOOTERS LTD.,MAHSCOOTER,Investment Company
MAJESTIC AUTO LTD.-$,MAJESAUT,Diversified Commercial Services
MANALI PETROCHEMICAL LTD.,MANALIPETC,Petrochemicals
Max Financial Services Ltd,MFSL,Life Insurance
MID INDIA INDUSTRIES LTD.,MIDINDIA,Other Textile Products
MIRC ELECTRONICS LTD.,MIRCELECTR,Consumer Electronics
CENTURY ENKA LTD.,CENTENKA,Other Textile Products
LORDS CHLORO ALKALI LTD.,LORDSCHLO,Commodity Chemicals
SPICEJET LTD.,SPICEJET,Airline
MOREPEN LABORATORIES LTD.,MOREPENLAB,Pharmaceuticals
MRF LTD.,MRF,Tyres & Rubber Products
HEIDELBERGCEMENT INDIA LTD.,HEIDELBERG,Cement & Cement Products
NCC Limited,NCC,Civil Construction
Vedanta Limited,VEDL,Diversified Metals
NAHAR SPINNING MILLS LTD.,NAHARSPING,Other Textile Products
NATIONAL PEROXIDE LTD.,NATPEROX,Commodity Chemicals
GRASIM INDUSTRIES LTD.,GRASIM,Cement & Cement Products
PIRAMAL ENTERPRISES LTD.,PEL,Other Financial Services
NIIT LTD.,NIITLTD,Education
JAYKAY ENTERPRISES LTD.,JAYKAY,Depositories- Clearing Houses and Other Intermediaries
NIRLON LTD.,NIRLON,Diversified Commercial Services
Oil and Natural Gas Corporation Ltd,ONGC,Oil Exploration & Production
